展览时间,Exhibition Time,作品名称,Tittle,展览名称,Exhibition Name,展览类型,Exhibition Name,主办方,Host,展览地点,Exhibition Location,主办方国家,Host Country,其他,Others
2024.8.2,2024.8.2,一次又一次啊,Once and Once Again,"2024 The 6th International Arts& Design Technology 
International Arts & Design Invitation Exhibition : Meta Vision","2024 The 6th International Arts& Design Technology 
International Arts & Design Invitation Exhibition : Meta Vision",Group Exhibition,Group Exhibition,전남대학교 예술대학 ,Chonnam National University College of Arts,线上,online,韩国,Korea,,
2024.8.23,2024.8.23,一次又一次啊,Once and Once Again,Back to BEK: A Rooftop Night,Back to BEK: A Rooftop Night,Event,Event,Bergen senter for elektronisk kunst,Bergen senter for elektronisk kunst,卑尔根,Bergen,挪威,Norway,https://bek.no/en/rooftop-night/,https://bek.no/en/rooftop-night/
2024.9.25,2024.9.25,一次又一次啊,Once and Once Again,Open Process Night,Open Process Night,Group Exhibition,Group Exhibition,Bergen Kjøtt,Bergen Kjøtt,卑尔根,Bergen,挪威,Norway,,
2024.11.21-2024.11.24,2024.11.21-2024.11.24,一次又一次啊,Once and Once Again,Piksel Festival 2024,Piksel Festival 2024,Group Exhibition,Group Exhibition,Piksel.no,Piksel.no,卑尔根,Bergen,挪威,Norway,https://24.piksel.no/,https://24.piksel.no/
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
